,Temp,Grid,S_L,Y_IXC8H18,Y_CO,Y_O2,Y_NO,Y_CO2,Y_H2O,HRR,C_P,lambda,time_scale
78,991.393323,0.010046094,0.407593199,0.019868173,0.014347095,0.157318613,6.05E-07,0.033684569,1.38E-07,18034063.35,1273.40444,0.067816498,0.024647354
79,1000.280695,0.010051563,0.411451987,0.019242732,0.014544383,0.156464337,6.20E-07,0.034271215,1.52E-07,19550874.65,1274.800526,0.068357464,0.024429491
80,1018.204172,0.0100625,0.419250104,0.017965266,0.014941709,0.154747917,6.48E-07,0.035460707,1.85E-07,23046797.53,1277.401132,0.069446584,0.024001187
81,1036.318538,0.010073437,0.427154666,0.01665115,0.015344713,0.153011356,6.77E-07,0.036678542,2.26E-07,27488961.56,1279.818739,0.070545,0.023582647
82,1054.615005,0.010084375,0.435161938,0.015306762,0.015753093,0.151254941,7.07E-07,0.037924934,2.78E-07,33087137.64,1282.051589,0.071652034,0.023173844
83,1073.083155,0.010095312,0.443267022,0.013940314,0.016166438,0.149479027,7.37E-07,0.039200024,3.44E-07,40130301.75,1284.100552,0.072766901,0.022774788
84,1091.710557,0.01010625,0.451463578,0.0125621,0.016584199,0.147684058,7.67E-07,0.040503856,4.27E-07,48986547.88,1285.969637,0.073888681,0.022385527
85,1110.482292,0.010117188,0.459743511,0.011184656,0.01700565,0.145870608,7.98E-07,0.041836351,5.34E-07,60117564.48,1287.666459,0.075016296,0.022006156
86,1129.38035,0.010128125,0.468096614,0.009822793,0.017429839,0.144039427,8.29E-07,0.043197275,6.69E-07,74089803.25,1289.202588,0.076148469,0.021636826
87,1148.382913,0.010139062,0.476510197,0.008493405,0.017855545,0.142191521,8.60E-07,0.04458621,8.38E-07,91577337.84,1290.593694,0.077283688,0.021277745
88,1167.463501,0.01015,0.484968718,0.007214993,0.018281214,0.140328236,8.92E-07,0.046002519,1.05E-06,113345050.7,1291.859371,0.078420159,0.020929185
89,1177.021052,0.010155469,0.489208886,0.006599835,0.018494158,0.139387698,9.08E-07,0.046723502,1.18E-06,126273930.3,1292.448947,0.078988185,0.020758962
90,1186.585442,0.010160938,0.493452877,0.006005038,0.018706317,0.138443981,9.24E-07,0.047451071,1.31E-06,140609006.8,1293.016185,0.079555691,0.020591505
91,1196.151511,0.010166406,0.497697734,0.005433026,0.018917369,0.137497404,9.40E-07,0.048185065,1.47E-06,156460245.6,1293.564442,0.080122348,0.020426869
92,1205.713617,0.010171875,0.501940272,0.004886103,0.019126962,0.136548331,9.56E-07,0.048925306,1.64E-06,173942817.3,1294.097127,0.080687799,0.02026511
93,1215.2656,0.010177344,0.506177065,0.004366401,0.019334707,0.135597175,9.72E-07,0.049671597,1.83E-06,193148646.5,1294.617645,0.081251663,0.020106292
94,1224.800761,0.010182813,0.510404463,0.003875826,0.019540183,0.134644398,9.89E-07,0.050423718,2.03E-06,214167366.6,1295.12933,0.081813528,0.019950477
95,1234.311839,0.010188281,0.514618574,0.003416007,0.019742932,0.133690522,1.01E-06,0.051181434,2.26E-06,237057298.4,1295.635378,0.082372956,0.019797733
96,1243.791,0.01019375,0.5188153,0.002988245,0.019942457,0.13273612,1.02E-06,0.051944488,2.51E-06,261862257.1,1296.138783,0.082929478,0.019648129
97,1253.229824,0.010199219,0.522990313,0.00259347,0.020138228,0.13178183,1.04E-06,0.052712603,2.77E-06,288583859.3,1296.642269,0.083482599,0.019501735
98,1262.619327,0.010204688,0.527139111,0.00223221,0.020329676,0.130828348,1.06E-06,0.053485485,3.06E-06,317195360.1,1297.148232,0.084031798,0.019358623
99,1271.949958,0.010210156,0.531256992,0.001904565,0.020516196,0.129876429,1.07E-06,0.054262818,3.38E-06,347616526.4,1297.658691,0.084576525,0.019218865
100,1281.211656,0.010215625,0.535339128,0.001610202,0.020697151,0.12892689,1.09E-06,0.055044271,3.72E-06,379726116.7,1298.175249,0.085116212,0.01908253
101,1290.393872,0.010221094,0.539380533,0.001348355,0.020871871,0.127980603,1.11E-06,0.055829493,4.08E-06,413341165.5,1298.699065,0.085650267,0.01894969
102,1299.48566,0.010226563,0.543376165,0.00111785,0.021039658,0.127038489,1.12E-06,0.056618115,4.47E-06,448229926.6,1299.230856,0.086178084,0.018820411
103,1308.475728,0.010232031,0.547320882,0.000917141,0.021199789,0.126101522,1.14E-06,0.057409752,4.88E-06,484097668.1,1299.77089,0.086699047,0.018694758
104,1317.352573,0.0102375,0.551209569,0.00074436,0.021351524,0.12517071,1.16E-06,0.058204002,5.32E-06,520601678.1,1300.319028,0.087212531,0.018572791
105,1326.104548,0.010242969,0.555037086,0.000597379,0.021494108,0.124247095,1.18E-06,0.059000445,5.78E-06,557344948.1,1300.874748,0.087717912,0.018454566
106,1334.720037,0.010248438,0.55879842,0.00047388,0.02162678,0.123331743,1.20E-06,0.059798645,6.26E-06,593893777.7,1301.437213,0.088214574,0.018340133
107,1343.18754,0.010253906,0.562488617,0.000371432,0.021748781,0.122425731,1.22E-06,0.060598153,6.77E-06,629779255.2,1302.005318,0.088701912,0.018229536
108,1351.495868,0.010259375,0.566102959,0.000287562,0.021859364,0.121530137,1.24E-06,0.061398501,7.30E-06,664516584.1,1302.57777,0.089179342,0.018122808
109,1359.634236,0.010264844,0.569636883,0.000219829,0.021957798,0.12064603,1.26E-06,0.062199209,7.85E-06,697612434.5,1303.153148,0.089646309,0.018019977
110,1367.592464,0.010270313,0.57308617,0.000165888,0.022043387,0.119774461,1.28E-06,0.062999783,8.42E-06,728583883.7,1303.729975,0.090102293,0.017921061
111,1375.361059,0.010275781,0.576446856,0.000123539,0.02211547,0.118916446,1.30E-06,0.063799716,9.01E-06,756968559.1,1304.30677,0.090546813,0.017826069
112,1382.931407,0.01028125,0.579715424,9.08E-05,0.022173441,0.11807296,1.32E-06,0.064598494,9.61E-06,782340824.8,1304.882108,0.090979442,0.017734995
113,1390.295828,0.010286719,0.582888699,6.58E-05,0.022216752,0.117244926,1.34E-06,0.065395591,1.02E-05,804321566.3,1305.454648,0.091399802,0.017647827
114,1397.447744,0.010292188,0.585964045,4.70E-05,0.022244926,0.116433206,1.36E-06,0.066190477,1.09E-05,822589934.3,1306.023171,0.091807578,0.017564538
