Position, Mass Fraction Fuel, Mass Fraction Oxidizer
0.010153, 0.000000, 0.005021
0.010160, 0.000000, 0.005325
0.010166, 0.000000, 0.005654
0.010173, 0.000000, 0.006009
0.010180, 0.000000, 0.006392
0.010186, 0.000000, 0.006806
0.010193, 0.000000, 0.007252
0.010199, 0.000000, 0.007733
0.010206, 0.000000, 0.008250
0.010213, 0.000000, 0.008806
0.010219, 0.000000, 0.009404
0.010226, 0.000000, 0.010044
0.010233, 0.000000, 0.010729
0.010239, 0.000000, 0.011461
0.010246, 0.000000, 0.012241
0.010253, 0.000000, 0.013070
0.010259, 0.000000, 0.013950
0.010266, 0.000000, 0.014881
0.010273, 0.000000, 0.015863
0.010279, 0.000000, 0.016896
0.010286, 0.000000, 0.017980
0.010293, 0.000000, 0.019114
0.010299, 0.000000, 0.020297
0.010306, 0.000000, 0.021528
0.010312, 0.000000, 0.022805
0.010319, 0.000000, 0.024128
0.010326, 0.000000, 0.025494
0.010332, 0.000000, 0.026901
0.010339, 0.000000, 0.028348
0.010346, 0.000000, 0.029833
0.010352, 0.000000, 0.031353
0.010359, 0.000000, 0.032908
0.010366, 0.000000, 0.034495
0.010372, 0.000000, 0.036113
0.010386, 0.000000, 0.039441
0.010399, 0.000000, 0.042871
0.010412, 0.000000, 0.046392
0.010426, 0.000000, 0.049994
0.010439, 0.000000, 0.053665
0.010452, 0.000000, 0.057398
0.010479, 0.000000, 0.065055
0.010505, 0.000000, 0.072863
0.010532, 0.000000, 0.080771
0.010559, 0.000000, 0.088735
0.010585, 0.000000, 0.096711
0.010612, 0.000000, 0.104664
0.010638, 0.000000, 0.112555
0.010691, 0.000000, 0.128287
0.010745, 0.000000, 0.143402
0.010771, 0.000000, 0.150503
0.010798, 0.000000, 0.157364
0.010824, 0.000000, 0.163964
0.010851, 0.000000, 0.170288
0.010878, 0.000000, 0.176324
0.010904, 0.000000, 0.182067
0.010918, 0.000000, 0.184787
0.010931, 0.000000, 0.187431
0.010944, 0.000000, 0.190000
0.010951, 0.000000, 0.191246
0.010957, 0.000000, 0.192472
0.010964, 0.000000, 0.193679
0.010971, 0.000000, 0.194867
0.010977, 0.000000, 0.196035
0.010984, 0.000000, 0.197184
0.010991, 0.000000, 0.198312
0.010997, 0.000000, 0.199421
0.011004, 0.000000, 0.200509
0.011011, 0.000000, 0.201577
0.011024, 0.000000, 0.203670
0.011037, 0.000000, 0.205679
0.011044, 0.000000, 0.206644
0.011051, 0.000000, 0.207587
0.011057, 0.000000, 0.208510
0.011064, 0.000000, 0.209410
0.011070, 0.000000, 0.210289
0.011077, 0.000000, 0.211147
0.011084, 0.000000, 0.211983
0.011090, 0.000000, 0.212797
0.011104, 0.000000, 0.214372
0.011117, 0.000000, 0.215860
0.011130, 0.000000, 0.217261
0.011144, 0.000000, 0.218574
0.011157, 0.000000, 0.219801
0.011170, 0.000000, 0.220943
0.011184, 0.000000, 0.222002
0.011197, 0.000000, 0.222979
0.011223, 0.000000, 0.224723
0.011250, 0.000000, 0.226179
0.011277, 0.000000, 0.227374
0.011330, 0.000000, 0.229151
0.011383, 0.000000, 0.230291
0.011436, 0.000000, 0.230990
0.011489, 0.000000, 0.231403
0.011543, 0.000000, 0.231640
0.011596, 0.000000, 0.231771
0.011702, 0.000000, 0.231887
0.011809, 0.000000, 0.231928
0.011915, 0.000000, 0.231942
0.012128, 0.000000, 0.231948
0.012340, 0.000000, 0.231949
0.012766, 0.000000, 0.231950
0.013191, 0.000000, 0.231950
0.013617, 0.000000, 0.231950
0.014043, 0.000000, 0.231950
0.014468, 0.000000, 0.231950
0.014894, 0.000000, 0.231950
0.015319, 0.000000, 0.231950
0.015745, 0.000000, 0.231950
0.016170, 0.000000, 0.231950
0.016596, 0.000000, 0.231950
0.017021, 0.000000, 0.231950
0.017447, 0.000000, 0.231950
0.017872, 0.000000, 0.231950
0.018298, 0.000000, 0.231950
0.018723, 0.000000, 0.231950
0.019149, 0.000000, 0.231950
0.019574, 0.000000, 0.231950
0.020000, 0.000000, 0.231950
